company,2015_competitor,2015_forb
Chengdu Qinchuan IoT Technology,4,4
SUZHOU XUANHE IOT TECHNOLOGY,3,4
Jiangsu IoT Research and Development Center,4,4
Nanjing Hansense Iot Technology,1,4
Nanjing IoT Sensor Technology,1,4
GUANGDONG ABEJ IOT INTELLIGENT TECHNOLOGY,1,4
Huawei Technologies,2,4
SHENZHEN QIANHAI LINGJU INTERNET OF THINGS SCIENCE & TECHNOLOGY,1,4
Shenzhen Qianhai Livall IoT Technology,1,4
Tianjin Hui Zhiwulian Science And Technology,1,4
Mangoiot,1,4
Chongqing Liuhe Iot,1,4
Huizhou Sanhe Iot Technology,1,4
Xian Irain IoT Technology Service,2,4
